"","cdd","hdd","city","longitude","latitude","population"
"96",102,2000,"North Las Vegas",-115.1175013,36.1988592,"226877"
"97",1360,2382,"Fremont",-121.9885719,37.5482697,"224922"
"98",383,5513,"Boise City",-116.2146068,43.6187102,"214237"
"99",1550,3771,"Richmond",-77.4360481,37.5407246,"214114"
"100",450,1420,"San Bernardino",-117.2897652,34.1083449,"213708"
"101",2628,2678,"Birmingham",-86.80249,33.5206608,"212113"
"102",407,6294,"Spokane",-117.4260466,47.6587802,"210721"
"103",570,6646,"Rochester",-77.6109219,43.16103,"210358"
"104",742,6203,"Des Moines",-93.6091064,41.6005448,"207510"
"105",1321,2172,"Modesto",-120.9968782,37.6390972,"204933"
"106",1749,3142,"Fayetteville",-78.8783585,35.0526641,"204408"
"107",767,4386,"Tacoma",-122.4442906,47.2528768,"203446"
"108",1609,1723,"Oxnard",-119.1770516,34.1975048,"203007"
"109",325,1471,"Fontana",-117.435048,34.0922335,"203003"
"110",2368,2122,"Columbus",-84.9877094,32.4609764,"202824"
"111",1647,2237,"Montgomery",-86.2999689,32.3668052,"201332"
"112",325,1471,"Moreno Valley",-117.2296717,33.9424658,"201175"
"113",2442,2264,"Shreveport",-93.7501789,32.5251516,"200327"
"114",925,6291,"Aurora",-88.3200715,41.7605849,"199963"
"115",424,5310,"Yonkers",-73.8987469,40.9312099,"199766"
"116",364,5670,"Akron",-81.5190053,41.0814447,"198100"
"117",877,1251,"Huntington Beach",-117.9992265,33.660297,"197575"
"118",2388,3053,"Little Rock",-92.2895948,34.7464809,"197357"
"119",824,2172,"Augusta-Richmond County",-82.0105148,33.4734978,"197350"
"120",2502,4178,"Amarillo",-101.8312969,35.2219971,"196429"
"121",167,1054,"Glendale",-118.255075,34.1425078,"196021"
"122",2539,1656,"Mobile",-88.0398912,30.6953657,"194899"
"123",698,6485,"Grand Rapids",-85.6680863,42.9633599,"192294"
"124",146,4967,"Salt Lake City",-111.8910474,40.7607793,"191180"
"125",2592,1596,"Tallahassee",-84.2807329,30.4382559,"186411"
"126",1135,3002,"Huntsville",-86.5861037,34.7303688,"186254"
"127",2798,2207,"Grand Prairie",-96.9977846,32.7459645,"183372"
"128",1458,3955,"Knoxville",-83.9207392,35.9606384,"183270"
"129",469,6717,"Worcester",-71.8022934,42.2625932,"182544"
"130",2010,3538,"Newport News",-76.4730122,37.0870821,"182020"
"131",3310,554,"Brownsville",-97.4974838,25.9017472,"181860"
"132",1055,5079,"Overland Park",-94.6707917,38.9822282,"181260"
"133",105,1822,"Santa Clarita",-118.542586,34.3916641,"179590"
"134",780,5618,"Providence",-71.4128343,41.8239891,"177994"
"135",1399,1004,"Garden Grove",-117.9414477,33.7739053,"175140"
"136",1397,3941,"Chattanooga",-85.3096801,35.0456297,"173366"
"137",1057,2060,"Oceanside",-117.3794834,33.1958696,"172794"
"138",2401,2219,"Jackson",-90.1848103,32.2987573,"172638"
"139",4041,156,"Fort Lauderdale",-80.1373174,26.1224386,"172389"
"140",293,2567,"Santa Rosa",-122.7140548,38.440429,"171990"
"141",3687,1537,"Rancho Cucamonga",-117.5931084,34.1063989,"171386"
"142",2551,290,"Port St. Lucie",-80.3582261,27.2730492,"171016"
"143",731,1268,"Tempe",-111.9400054,33.4255104,"168228"
"144",3687,1537,"Ontario",-117.6508876,34.0633443,"167500"
"145",375,4347,"Vancouver",-122.6614861,45.6387281,"167405"
"146",3273,286,"Cape Coral",-81.9495331,26.5628537,"165831"
"147",514,7706,"Sioux Falls",-96.7311034,43.5445959,"164676"
"148",1244,4578,"Springfield",-93.2922989,37.2089572,"164122"
"149",790,1136,"Peoria",-112.2373779,33.5805955,"162592"
"150",4339,146,"Pembroke Pines",-80.2962555,26.007765,"162329"
"151",1208,2618,"Elk Grove",-121.3716178,38.4087993,"161007"
"152",828,4652,"Salem",-123.0350963,44.9428975,"160614"
"153",1852,2936,"Lancaster",-118.1541632,34.6867846,"159523"
"154",89,1831,"Corona",-117.5664384,33.8752935,"159503"
"155",287,4807,"Eugene",-123.0867536,44.0520691,"159190"
"156",5,2551,"Palmdale",-118.1164613,34.5794343,"157161"
"157",1680,2900,"Salinas",-121.6555013,36.6777372,"155662"
"158",702,6613,"Springfield",-72.589811,42.1014831,"153703"
"159",2080,1237,"Pasadena",-95.2091006,29.6910625,"152735"
"160",360,5918,"Fort Collins",-105.084423,40.5852602,"152061"
"161",293,2531,"Hayward",-122.0807964,37.6688205,"151574"
"162",1781,1429,"Pomona",-117.7499909,34.055103,"151348"
"163",901,3441,"Cary",-78.7811169,35.79154,"151088"
"164",820,6569,"Rockford",-89.0939952,42.2711311,"150251"
"165",2006,4030,"Alexandria",-77.0469214,38.8048355,"148892"
"166",1078,1329,"Escondido",-117.086421,33.1192068,"148738"
"167",2468,3118,"McKinney",-96.6397822,33.1972465,"148559"
"168",1238,4686,"Kansas City",-94.6274636,39.114053,"148483"
"169",1147,6151,"Joliet",-88.0817251,41.525031,"147806"
"170",1178,2181,"Sunnyvale",-122.0363496,37.36883,"147559"
"171",845,1481,"Torrance",-118.3406288,33.8358492,"147478"
"172",825,5392,"Bridgeport",-73.1951767,41.1865478,"147216"
"173",34,5705,"Lakewood",-105.0813734,39.7047095,"147214"
"174",3425,113,"Hollywood",-80.1494901,26.0112014,"146526"
"175",823,5549,"Paterson",-74.171811,40.9167654,"145948"
"176",708,6633,"Naperville",-88.1535352,41.7508391,"144864"
"177",579,6651,"Syracuse",-76.1474244,43.0481221,"144669"
"178",2410,2135,"Mesquite",-96.5991593,32.7667955,"143484"
"179",551,5247,"Dayton",-84.1916069,39.7589478,"143355"
"180",990,1811,"Savannah",-81.0998342,32.0835407,"142772"
"181",1386,3802,"Clarksville",-87.3594528,36.5297706,"142357"
"182",1399,1004,"Orange",-117.8531119,33.7877944,"139969"
"183",167,1054,"Pasadena",-118.1445155,34.1477849,"139731"
"184",288,1225,"Fullerton",-117.9242966,33.8703596,"138981"
"185",2282,2167,"Killeen",-97.7277959,31.1171194,"137147"
"186",2468,3118,"Frisco",-96.8236116,33.1506744,"136791"
"187",2010,3538,"Hampton",-76.3452218,37.0298687,"136699"
"188",3367,667,"McAllen",-98.2300124,26.2034071,"136639"
"189",816,6168,"Warren",-83.0146526,42.5144566,"134873"
"190",339,4370,"Bellevue",-122.2006786,47.610377,"133992"
"191",614,5607,"West Valley City",-112.0010501,40.6916132,"133579"
"192",1604,1998,"Columbia",-81.0348144,34.0007104,"133358"
"193",1055,5079,"Olathe",-94.8191285,38.8813958,"131885"
"194",670,6768,"Sterling Heights",-83.0302033,42.5803122,"131224"
"195",782,5678,"New Haven",-72.9278835,41.308274,"130660"
"196",4339,146,"Miramar",-80.3035602,25.9860762,"130288"
"197",3331,2138,"Waco",-97.1466695,31.549333,"129030"
"198",911,1986,"Thousand Oaks",-118.8375937,34.1705609,"128731"
"199",783,6304,"Cedar Rapids",-91.6656232,41.9778795,"128429"
"200",1570,1736,"Charleston",-79.9310512,32.7764749,"127999"
"201",910,2386,"Visalia",-119.2920585,36.3302284,"127763"
"202",388,5020,"Topeka",-95.6890185,39.0558235,"127679"
"203",530,4870,"Elizabeth",-74.2107006,40.6639916,"127558"
"204",3334,1218,"Gainesville",-82.3248262,29.6516344,"127488"
"205",202,5444,"Thornton",-104.9719243,39.8680412,"127359"
"206",4127,2460,"Roseville",-121.2880059,38.7521235,"127035"
"207",2410,2135,"Carrollton",-96.8899636,32.9756415,"126700"
"208",3788,194,"Coral Springs",-80.2706044,26.271192,"126604"
"209",280,5443,"Stamford",-73.5387341,41.0534302,"126456"
"210",198,1696,"Simi Valley",-118.781482,34.2694474,"126181"
"211",130,2470,"Concord",-122.0310733,37.9779776,"125880"
"212",281,5839,"Hartford",-72.6850932,41.7637111,"125017"
"213",952,4531,"Kent",-122.2348431,47.3809335,"124435"
"214",2165,1421,"Lafayette",-92.0198427,30.2240897,"124276"
"215",2100,2271,"Midland",-102.0779146,31.9973456,"123933"
"216",790,1136,"Surprise",-112.3679279,33.6292337,"123546"
"217",2248,2570,"Denton",-97.1330683,33.2148412,"123099"
"218",1558,2761,"Victorville",-117.2927641,34.5362184,"121096"
"219",1225,3736,"Evansville",-87.5710898,37.9715592,"120310"
"220",848,2257,"Santa Clara",-121.9552356,37.3541079,"120245"
"221",2053,2558,"Abilene",-99.7331439,32.4487364,"120099"
"222",2058,2771,"Athens-Clarke County",-83.357567,33.9519347,"119980"
"223",223,3355,"Vallejo",-122.2566367,38.1040864,"118837"
"224",756,5800,"Allentown",-75.4901833,40.6084305,"118577"
"225",1610,3628,"Norman",-97.4394777,35.2225668,"118197"
"226",2970,1514,"Beaumont",-94.1265562,30.080174,"117796"
"227",1212,5126,"Independence",-94.4155068,39.0911161,"117240"
"228",1619,3918,"Murfreesboro",-86.39027,35.8456213,"117044"
"229",281,6335,"Ann Arbor",-83.7430378,42.2808256,"117025"
"230",1123,5484,"Springfield",-89.6501481,39.7817213,"117006"
"231",1220,2701,"Berkeley",-122.272747,37.8715926,"116768"
"232",886,5831,"Peoria",-89.5889864,40.6936488,"116513"
"233",897,5271,"Provo",-111.6585337,40.2338438,"116288"
"234",1942,1290,"El Monte",-118.0275667,34.0686206,"115708"
"235",1373,4745,"Columbia",-92.3340724,38.9517053,"115276"
"236",297,6711,"Lansing",-84.5555347,42.732535,"113972"
"237",578,8739,"Fargo",-96.7898034,46.8771863,"113658"
"238",588,849,"Downey",-118.1331593,33.9401088,"113242"
"239",564,1523,"Costa Mesa",-117.9186689,33.6411316,"112174"
"240",1918,2412,"Wilmington",-77.9447102,34.2257255,"112067"
"241",24,6045,"Arvada",-105.0874842,39.8027644,"111707"
"242",3145,1420,"Inglewood",-118.3531311,33.9616801,"111542"
"243",2941,140,"Miami Gardens",-80.2456045,25.9420377,"111378"
"244",420,2029,"Carlsbad",-117.3505939,33.1580933,"110972"
"245",202,5444,"Westminster",-105.0372046,39.8366528,"110945"
"246",770,7720,"Rochester",-92.4801989,44.0121221,"110742"
"247",1709,2484,"Odessa",-102.3676431,31.8456816,"110720"
"248",214,6729,"Manchester",-71.4547891,42.9956397,"110378"
"249",781,6694,"Elgin",-88.2825668,42.0354084,"110145"
"250",736,5670,"West Jordan",-111.9391031,40.6096698,"110077"
"251",2316,2011,"Round Rock",-97.678896,30.5082551,"109821"
"252",4328,464,"Clearwater",-82.8001026,27.9658533,"109703"
"253",465,6854,"Waterbury",-73.0514965,41.5581525,"109676"
"254",188,4641,"Gresham",-122.4302013,45.5001357,"109397"
"255",80,2492,"Fairfield",-122.0399663,38.2493581,"109320"
"256",537,6339,"Billings",-108.5006904,45.7832856,"109059"
"257",380,6632,"Lowell",-71.3161718,42.6334247,"108861"
"258",182,2034,"San Buenaventura (Ventura)",-119.2290316,34.274646,"108817"
"259",1114,5195,"Pueblo",-104.6091409,38.2544472,"108249"
"260",351,3258,"High Point",-80.0053176,35.9556923,"107741"
"261",1942,1290,"West Covina",-117.9389526,34.0686208,"107740"
"262",823,2545,"Richmond",-122.3477486,37.9357576,"107571"
"263",4209,1744,"Murrieta",-117.2139232,33.5539143,"107479"
"264",496,6013,"Cambridge",-71.1097335,42.3736158,"107289"
"265",2021,2478,"Antioch",-121.805789,38.0049214,"107100"
"266",454,1927,"Temecula",-117.1483648,33.4936391,"106780"
"267",288,1225,"Norwalk",-118.081733,33.9022367,"106589"
"268",561,6194,"Centennial",-104.8771726,39.5807452,"106114"
"269",460,4937,"Everett",-122.2020794,47.9789848,"105370"
"270",3565,577,"Palm Bay",-80.5886646,28.0344621,"104898"
"271",2037,2969,"Wichita Falls",-98.4933873,33.9137085,"104898"
"272",471,7955,"Green Bay",-88.019826,44.519159,"104779"
"273",190,3564,"Daly City",-122.4702079,37.6879241,"104739"
"274",2552,1569,"Burbank",-118.3089661,34.1808392,"104709"
"275",2410,2135,"Richardson",-96.7298519,32.9483335,"104475"
"276",3286,207,"Pompano Beach",-80.1247667,26.2378597,"104410"
"277",1744,1977,"North Charleston",-79.9748103,32.8546197,"104054"
"278",1794,3774,"Broken Arrow",-95.7974526,36.060949,"103500"
"279",317,5479,"Boulder",-105.2705456,40.0149856,"103166"
"280",4838,234,"West Palm Beach",-80.0533746,26.7153424,"102436"
"281",1408,2823,"Santa Maria",-120.4357191,34.9530337,"102216"
"282",912,1297,"El Cajon",-116.9625269,32.7947731,"102211"
"283",682,5879,"Davenport",-90.5776367,41.5236437,"102157"
"284",450,1420,"Rialto",-117.3703235,34.1064001,"101910"
"285",335,2816,"Las Cruces",-106.7636538,32.3199396,"101324"
"286",373,2653,"San Mateo",-122.3255254,37.5629917,"101128"
"287",2708,2557,"Lewisville",-96.994174,33.046233,"101074"
"288",543,6298,"South Bend",-86.2519898,41.6763545,"100886"
"289",4212,444,"Lakeland",-81.9498042,28.0394654,"100710"
"290",632,6148,"Erie",-80.085059,42.1292241,"100671"
"291",1880,2142,"Tyler",-95.3010624,32.3512601,"100223"
"292",1159,1289,"Pearland",-95.2860474,29.5635666,"100065"
"293",2755,1607,"College Station",-96.3344068,30.627977,"100050"
"294",297,6775,"Kenosha",-87.8211854,42.5847425,"99889"
"295",1758,2944,"Sandy Springs",-84.3733147,33.9304352,"99770"
"296",2124,2346,"Clovis",-119.7029194,36.8252277,"99769"
"297",428,6950,"Flint",-83.6874562,43.0125274,"99763"
"298",2062,4143,"Roanoke",-79.9414266,37.2709704,"98465"
"299",757,6680,"Albany",-73.7562317,42.6525793,"98424"
"300",625,1447,"Jurupa Valley",-117.4854802,33.9971974,"98030"
"301",1757,1132,"Compton",-118.2200712,33.8958492,"97877"
"302",2932,2504,"San Angelo",-100.4370375,31.4637723,"97492"
"303",699,4102,"Hillsboro",-122.989827,45.5228939,"97368"
"304",2170,3151,"Lawton",-98.3959291,34.6035669,"97151"
"305",218,4533,"Renton",-122.2170661,47.4828776,"97003"
"306",3219,1522,"Vista",-117.2425355,33.2000368,"96929"
"307",3068,194,"Davie",-80.2521157,26.0764783,"96830"
"308",1219,5431,"Greeley",-104.7091322,40.4233142,"96539"
"309",928,1488,"Mission Viejo",-117.6719953,33.6000232,"96346"
"310",1549,3376,"Portsmouth",-76.2982742,36.8354258,"96205"
"311",239,6215,"Dearborn",-83.1763145,42.3222599,"95884"
"312",1247,1083,"South Gate",-118.2120161,33.954737,"95677"
"313",1456,2338,"Tuscaloosa",-87.5691735,33.2098407,"95334"
"314",239,6215,"Livonia",-83.3527097,42.36837,"95208"
"315",729,5606,"New Bedford",-70.934205,41.6362152,"95078"
"316",1296,2590,"Vacaville",-121.9877444,38.3565773,"94275"
"317",305,6305,"Brockton",-71.0183787,42.0834335,"94089"
"318",1593,3644,"Roswell",-84.3615555,34.0232431,"94034"
"319",225,4447,"Beaverton",-122.8037102,45.487062,"93542"
"320",535,5857,"Quincy",-71.0022705,42.2528772,"93494"
"321",269,5150,"Sparks",-119.7526886,39.5349112,"93282"
"322",308,5244,"Yakima",-120.5058987,46.6020711,"93257"
"323",1272,5086,"Lee's Summit",-94.3821724,38.9108408,"93184"
"324",767,4386,"Federal Way",-122.3126222,47.3223221,"92734"
"325",845,1481,"Carson",-118.281693,33.8316745,"92599"
"326",636,1548,"Santa Monica",-118.4911912,34.0194543,"92472"
"327",1558,2761,"Hesperia",-117.3008784,34.4263886,"92147"
"328",2354,2641,"Allen",-96.6705503,33.1031744,"92020"
"329",280,4872,"Rio Rancho",-106.6630437,35.2327544,"91956"
"330",997,678,"Yuma",-114.6276916,32.6926512,"91923"
"331",1399,1004,"Westminster",-117.9939921,33.7513419,"91739"
"332",1016,5404,"Orem",-111.6946475,40.2968979,"91648"
"333",558,6544,"Lynn",-70.9494938,42.466763,"91589"
"334",83,2818,"Redding",-122.3916754,40.5865396,"91119"
"335",407,6294,"Spokane Valley",-117.2393748,47.6732281,"91113"
"336",4249,145,"Miami Beach",-80.1300455,25.790654,"91026"
"337",2761,1400,"League City",-95.0949303,29.5074538,"90983"
"338",1411,5239,"Lawrence",-95.2352501,38.9716689,"90811"
"339",18,1614,"Santa Barbara",-119.6981901,34.4208305,"90412"
"340",3068,194,"Plantation",-80.2331036,26.1275862,"90268"
"341",736,5670,"Sandy",-111.8389726,40.5649781,"90231"
"342",3068,194,"Sunrise",-80.256595,26.1669711,"90116"
"343",2562,2323,"Macon",-83.6324022,32.8406946,"89981"
"344",1277,6578,"Longmont",-105.1019275,40.1672068,"89919"
"345",4162,175,"Boca Raton",-80.1289321,26.3683064,"89407"
"346",1078,1329,"San Marcos",-117.1661449,33.1433723,"89387"
"347",84,3047,"Greenville",-77.3663538,35.612661,"89130"
"348",850,6708,"Waukegan",-87.8447938,42.3636331,"88826"
"349",453,5475,"Fall River",-71.1550451,41.7014912,"88697"
"350",1485,2779,"Chico",-121.8374777,39.7284944,"88077"
"351",496,6013,"Newton",-71.2092214,42.3370413,"87971"
"352",691,2873,"San Leandro",-122.1560768,37.7249296,"87965"
"353",512,5390,"Reading",-75.9268747,40.3356483,"87893"
"354",280,5443,"Norwalk",-73.4081575,41.117744,"87776"
"355",2098,3244,"Fort Smith",-94.3985475,35.3859242,"87650"
"356",564,1523,"Newport Beach",-117.9289469,33.6189101,"87273"
"357",1882,4086,"Asheville",-82.5514869,35.5950581,"87236"
"358",360,6657,"Nashua",-71.467566,42.7653662,"87137"
"359",1926,3893,"Edmond",-97.4780954,35.6528323,"87004"
"360",588,849,"Whittier",-118.032844,33.9791793,"86635"
"361",240,5668,"Nampa",-116.5634624,43.5407172,"86518"
"362",294,7581,"Bloomington",-93.2982799,44.840798,"86319"
"363",3488,624,"Deltona",-81.2636738,28.9005446,"86290"
"364",1757,1132,"Hawthorne",-118.3525748,33.9164032,"86199"
"365",550,9491,"Duluth",-92.1004852,46.7866719,"86128"
"366",630,5793,"Carmel",-86.1180435,39.978371,"85927"
"367",1093,3432,"Suffolk",-76.5835621,36.7282054,"85728"
"368",823,5549,"Clifton",-74.1637553,40.8584328,"85390"
"369",4127,2460,"Citrus Heights",-121.2810611,38.7071247,"85285"
"370",386,2562,"Livermore",-121.7680088,37.6818745,"85156"
"371",490,2280,"Tracy",-121.4252227,37.7396513,"84691"
"372",1942,1290,"Alhambra",-118.1270146,34.095287,"84577"
"373",175,4586,"Kirkland",-122.2087353,47.6814875,"84430"
"374",494,5159,"Trenton",-74.7429384,40.2170534,"84349"
"375",1139,5743,"Ogden",-111.9738304,41.223,"84249"
"376",1522,2770,"Hoover",-86.8113781,33.4053867,"84126"
"377",1034,5989,"Cicero",-87.7539448,41.8455877,"84103"
"378",630,5793,"Fishers",-86.01335,39.9567548,"83891"
"379",3452,1187,"Sugar Land",-95.6349463,29.6196787,"83860"
"380",603,5832,"Danbury",-73.4540111,41.394817,"83684"
"381",383,5513,"Meridian",-116.3915131,43.6121087,"83596"
"382",1734,704,"Indio",-116.2155619,33.7205771,"83539"
"383",1766,3383,"Concord",-80.579511,35.4087517,"83506"
"384",454,1927,"Menifee",-117.185294,33.6971468,"83447"
"385",1073,5869,"Champaign",-88.2433829,40.1164204,"83424"
"386",288,1225,"Buena Park",-117.9981181,33.8675143,"82882"
"387",286,6937,"Troy",-83.1497751,42.6064095,"82821"
"388",1678,4983,"O'Fallon",-90.6998477,38.8106075,"82809"
"389",1593,3644,"Johns Creek",-84.198579,34.0289259,"82788"
"390",177,4902,"Bellingham",-122.4781473,48.74908,"82631"
"391",803,6136,"Westland",-83.400211,42.324204,"82578"
"392",912,5285,"Bloomington",-86.5263857,39.165325,"82575"
"393",1010,6863,"Sioux City",-96.4003069,42.4999942,"82459"
"394",780,5618,"Warwick",-71.4161671,41.7001009,"81971"
"395",7,1950,"Hemet",-116.9719684,33.7475203,"81750"
"396",2841,2325,"Longview",-94.7404891,32.5007037,"81443"
"397",286,6937,"Farmington Hills",-83.3677168,42.4989936,"81295"
"398",251,6899,"Bend",-121.3153096,44.0581728,"81236"
"399",1700,1217,"Lakewood",-118.1339563,33.8536269,"81121"
"400",1624,2572,"Merced",-120.4829677,37.3021632,"81102"
"401",2167,672,"Mission",-98.3252932,26.2159066,"81050"
"402",89,1831,"Chino",-117.688944,34.0122346,"80988"
"403",2220,2536,"Redwood City",-122.2363548,37.4852152,"80872"
"404",3367,667,"Edinburg",-98.1633432,26.3017374,"80836"
"405",780,5618,"Cranston",-71.4372796,41.7798226,"80566"
"406",824,5761,"Parma",-81.7229086,41.4047742,"80429"
"407",424,5310,"New Rochelle",-73.7823549,40.9114882,"79446"
"408",928,1488,"Lake Forest",-117.689218,33.6469661,"79312"
"409",2004,2511,"Napa",-122.286865,38.2975381,"79068"
"410",1079,6326,"Hammond",-87.5000412,41.5833688,"78967"
"411",989,4013,"Fayetteville",-94.1574263,36.0625795,"78960"
"412",1402,5948,"Bloomington",-88.9936873,40.4842027,"78902"
"413",1923,1284,"Avondale",-112.3496021,33.4355977,"78822"
"414",492,5681,"Somerville",-71.0994968,42.3875968,"78804"
"415",2823,1024,"Palm Coast",-81.2078699,29.5844524,"78740"
"416",2755,1607,"Bryan",-96.3699632,30.6743643,"78709"
"417",864,6299,"Gary",-87.3464271,41.5933696,"78450"
"418",4328,464,"Largo",-82.7873244,27.9094665,"78409"
"419",692,7722,"Brooklyn Park",-93.3563405,45.0941315,"78373"
"420",1399,1004,"Tustin",-117.826166,33.7458511,"78327"
"421",260,6906,"Racine",-87.7828523,42.7261309,"78199"
"422",4162,175,"Deerfield Beach",-80.0997657,26.3184123,"78041"
"423",965,4621,"Lynchburg",-79.1422464,37.4137536,"78014"
